question,slug,url,volume24hr,volumeTotal,liquidity,endDate,category,outcomes
Will the Fed increase interest rates by 50+ bps after the June 2026 meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-the-june-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-50-bps-after-the-june-2026-meeting,36646.441731999985,1633586.7079139957,414866.9306,2026-06-17T00:00:00Z,Fed,Yes=0.0055 / No=0.9945
Will the Fed Pause–Cut–Pause in the next three decisions (Mar–Apr–Jun)?,will-the-fed-pausecutpause-in-the-next-three-decisions-maraprjun,https://polymarket.com/event/will-the-fed-pausecutpause-in-the-next-three-decisions-maraprjun,27474.768348,169218.97962600007,28742.25305,2026-06-17T00:00:00Z,Fed,Yes=0.009 / No=0.991
Will 11 Fed rate cuts happen in 2026?,will-11-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-11-fed-rate-cuts-happen-in-2026,26592.369296999997,2245457.1877710517,202610.16919,2026-12-31T00:00:00Z,Fed,Yes=0.0035 / No=0.9965
Will 9 Fed rate cuts happen in 2026?,will-9-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-9-fed-rate-cuts-happen-in-2026,24795.173955,1325382.1595339996,157384.51035,2026-12-31T00:00:00Z,Fed,Yes=0.0035 / No=0.9965
Will no Fed rate cuts happen in 2026?,will-no-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-no-fed-rate-cuts-happen-in-2026,23575.228647999997,3342184.0645070155,86950.13046,2026-12-31T00:00:00Z,Fed,Yes=0.343 / No=0.657
Will 10 Fed rate cuts happen in 2026?,will-10-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-10-fed-rate-cuts-happen-in-2026,20065.474749999994,1821987.9884030004,149059.51991,2026-12-31T00:00:00Z,Fed,Yes=0.0045 / No=0.9955
Will Scott Bessent be confirmed as Fed Chair?,will-scott-bessent-be-confirmed-as-fed-chair,https://polymarket.com/event/will-scott-bessent-be-confirmed-as-fed-chair,14447.520832999999,3511327.679138024,217140.16847,2026-10-31T00:00:00Z,Fed,Yes=0.0025 / No=0.9975
Will 5 Fed rate cuts happen in 2026?,will-5-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-5-fed-rate-cuts-happen-in-2026,13748.441540000003,1127900.8252629961,122810.63245,2026-12-31T00:00:00Z,Fed,Yes=0.0135 / No=0.9865
Will Michelle Bowman be confirmed as Fed Chair?,will-michelle-bowman-be-confirmed-as-fed-chair,https://polymarket.com/event/will-michelle-bowman-be-confirmed-as-fed-chair,13261.782169,2512791.8082809984,122946.4921,2026-10-31T00:00:00Z,Fed,Yes=0.012 / No=0.988
Will the Fed increase interest rates by 50+ bps after the July 2026 meeting?,will-the-fed-increase-interest-rates-by-50-bps-after-the-july-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-50-bps-after-the-july-2026-meeting,9283.790249999998,224443.37551400022,117167.12362,2026-07-29T00:00:00Z,Fed,Yes=0.0085 / No=0.9915
Will 2 Fed rate cuts happen in 2026?,will-2-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-2-fed-rate-cuts-happen-in-2026,8681.240117,1043565.2927839966,101511.2721,2026-12-31T00:00:00Z,Fed,Yes=0.175 / No=0.825
Will 6 Fed rate cuts happen in 2026?,will-6-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-6-fed-rate-cuts-happen-in-2026,8057.198272,2154611.1657679933,95722.91577,2026-12-31T00:00:00Z,Fed,Yes=0.008 / No=0.992
Will the Fed decrease interest rates by 50+ bps after the July 2026 meeting?,will-the-fed-decrease-interest-rates-by-50-bps-after-the-july-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-50-bps-after-the-july-2026-meeting,8011.8534119999995,189816.98772000003,71470.73754,2026-07-29T00:00:00Z,Fed,Yes=0.0335 / No=0.9665
Will 12 or more Fed rate cuts happen in 2026?,will-12-or-more-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-12-or-more-fed-rate-cuts-happen-in-2026,7485.374230000001,1877853.531442009,67085.99218,2026-12-31T00:00:00Z,Fed,Yes=0.0105 / No=0.9895
Kevin Warsh confirmed as Fed Chair by May 15?,kevin-warsh-confirmed-as-fed-chair-by-may-15-961,https://polymarket.com/event/kevin-warsh-confirmed-as-fed-chair-by-may-15-961,6547.019665999997,221629.65707900043,24788.3976,2026-05-15T00:00:00Z,Fed,Yes=0.295 / No=0.705
Will Kevin Hassett be confirmed as Fed Chair?,will-kevin-hassett-be-confirmed-as-fed-chair,https://polymarket.com/event/will-kevin-hassett-be-confirmed-as-fed-chair,6334.902831,1391484.4844889992,123125.28314,2026-10-31T00:00:00Z,Fed,Yes=0.0025 / No=0.9975
Will there be no change in Fed interest rates after the July 2026 meeting?,will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,https://polymarket.com/event/will-there-be-no-change-in-fed-interest-rates-after-the-july-2026-meeting,6319.528026,200117.9109470004,72614.9628,2026-07-29T00:00:00Z,Fed,Yes=0.815 / No=0.185
Fed Rate Hike by April 2026 Meeting?,fed-rate-hike-by-april-2026-meeting,https://polymarket.com/event/fed-rate-hike-by-april-2026-meeting,6154.369005,30962.428239000004,28173.07425,2026-12-09T00:00:00Z,Fed,Yes=0.007 / No=0.993
"Jerome Powell out as Fed Chair by May 14, 2026?",jerome-powell-out-as-fed-chair-by-may-14-2026,https://polymarket.com/event/jerome-powell-out-as-fed-chair-by-may-14-2026,6004.044994999998,1119140.9502749993,49076.7753,2026-05-14T00:00:00Z,Fed,Yes=0.019 / No=0.981
Will inflation reach more than 3.5% in 2026?,will-inflation-reach-more-than-3pt5-in-2026-154,https://polymarket.com/event/will-inflation-reach-more-than-3pt5-in-2026-154,5907.69181,131606.82339199973,31110.1394,2026-12-31T00:00:00Z,CPI,Yes=0.875 / No=0.125
Will 8 Fed rate cuts happen in 2026?,will-8-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-8-fed-rate-cuts-happen-in-2026,5601.541999999999,1281943.5284920041,107879.88006,2026-12-31T00:00:00Z,Fed,Yes=0.0045 / No=0.9955
Will inflation reach more than 5% in 2026?,will-inflation-reach-more-than-5-in-2026-282,https://polymarket.com/event/will-inflation-reach-more-than-5-in-2026-282,4948.1497,71102.31925299995,27885.3561,2026-12-31T00:00:00Z,CPI,Yes=0.155 / No=0.845
Will Jerome Powell be confirmed as Fed Chair?,will-jerome-powell-be-confirmed-as-fed-chair,https://polymarket.com/event/will-jerome-powell-be-confirmed-as-fed-chair,4889.471954,1286986.0893729993,48435.689,2026-10-31T00:00:00Z,Fed,Yes=0.0055 / No=0.9945
Will the Fed increase interest rates by 25 bps after the July 2026 meeting?,will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,https://polymarket.com/event/will-the-fed-increase-interest-rates-by-25-bps-after-the-july-2026-meeting,4762.878021,3041116.768254016,68546.88749,2026-07-29T00:00:00Z,Fed,Yes=0.036 / No=0.964
Will the Fed decrease interest rates by 25 bps after the July 2026 meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-the-july-2026-meeting,https://polymarket.com/event/will-the-fed-decrease-interest-rates-by-25-bps-after-the-july-2026-meeting,4458.628309000001,128595.95445899987,38936.3028,2026-07-29T00:00:00Z,Fed,Yes=0.115 / No=0.885
Will Rick Reider be confirmed as Fed Chair?,will-rick-reider-be-confirmed-as-fed-chair,https://polymarket.com/event/will-rick-reider-be-confirmed-as-fed-chair,3736.39275,927328.2042380002,38454.74823,2026-10-31T00:00:00Z,Fed,Yes=0.0045 / No=0.9955
Will 7 Fed rate cuts happen in 2026?,will-7-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-7-fed-rate-cuts-happen-in-2026,3414.1065000000003,962725.1023159991,118313.70057,2026-12-31T00:00:00Z,Fed,Yes=0.005 / No=0.995
Fed rate cut by June 2026 meeting?,fed-rate-cut-by-june-2026-meeting,https://polymarket.com/event/fed-rate-cut-by-june-2026-meeting,2923.2914819999996,168991.88158499988,29666.2154,2026-06-17T00:00:00Z,Fed,Yes=0.09 / No=0.91
Will annual inflation increase by ≥4.1% in April?,will-annual-inflation-increase-by-4pt1-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-4pt1-in-april,2771.612459,7320.555633000004,8741.0809,2026-05-12T00:00:00Z,CPI,Yes=0.029 / No=0.971
Will annual inflation increase by 3.8% in April?,will-annual-inflation-increase-by-3pt8-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt8-in-april,2136.523583,7959.161383000001,7329.2719,2026-05-12T00:00:00Z,CPI,Yes=0.1605 / No=0.8395
Will 4 Fed rate cuts happen in 2026?,will-4-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-4-fed-rate-cuts-happen-in-2026,2103.8259630000002,986611.7421540009,78354.0191,2026-12-31T00:00:00Z,Fed,Yes=0.039 / No=0.961
Will US GDP growth in Q1 2026 be between 3.0% and 3.5%?,will-us-gdp-growth-in-q1-2026-be-between-3pt0-and-3pt5,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-between-3pt0-and-3pt5,2079.3932149999996,97458.94274200004,3858.61747,2026-04-30T00:00:00Z,GDP,Yes=0.0745 / No=0.9255
Fed rate cut by April 2026 meeting?,fed-rate-cut-by-april-2026-meeting,https://polymarket.com/event/fed-rate-cut-by-april-2026-meeting,2022.625659,437844.1276140015,49984.11811,2026-04-29T00:00:00Z,Fed,Yes=0.0055 / No=0.9945
Will inflation reach more than 4% in 2026?,will-inflation-reach-more-than-4-in-2026-669,https://polymarket.com/event/will-inflation-reach-more-than-4-in-2026-669,1874.6718079999998,136402.43106499987,16596.1993,2026-12-31T00:00:00Z,CPI,Yes=0.355 / No=0.645
Will 1 Fed rate cut happen in 2026?,will-1-fed-rate-cut-happen-in-2026,https://polymarket.com/event/will-1-fed-rate-cut-happen-in-2026,1724.9802139999993,1070683.668611004,91144.6039,2026-12-31T00:00:00Z,Fed,Yes=0.295 / No=0.705
Will Christopher Waller be confirmed as Fed Chair?,will-christopher-waller-be-confirmed-as-fed-chair,https://polymarket.com/event/will-christopher-waller-be-confirmed-as-fed-chair,1702.622333,1484298.7064080017,116191.22007,2026-10-31T00:00:00Z,Fed,Yes=0.002 / No=0.998
Kevin Warsh confirmed as Fed Chair by May 1?,kevin-warsh-confirmed-as-fed-chair-by-may-1,https://polymarket.com/event/kevin-warsh-confirmed-as-fed-chair-by-may-1,1674.311537,384454.24991800066,24349.93104,2026-05-15T00:00:00Z,Fed,Yes=0.013 / No=0.987
Will 3 Fed rate cuts happen in 2026?,will-3-fed-rate-cuts-happen-in-2026,https://polymarket.com/event/will-3-fed-rate-cuts-happen-in-2026,1646.986641,952540.2955350005,121036.7052,2026-12-31T00:00:00Z,Fed,Yes=0.075 / No=0.925
Will the Fed’s lower bound reach 3.0% or lower before 2027?,will-the-feds-lower-bound-reach-3pt0-or-lower-before-2027-676-111,https://polymarket.com/event/will-the-feds-lower-bound-reach-3pt0-or-lower-before-2027-676-111,1554.74,238859.72134899825,22174.4651,2026-12-31T00:00:00Z,Fed,Yes=0.235 / No=0.765
Kevin Warsh cuts rates at first Fed meeting?,kevin-warsh-cuts-rates-at-first-fed-meeting,https://polymarket.com/event/kevin-warsh-cuts-rates-at-first-fed-meeting,1522.296325,2983.977051,5394.3073,,Fed,Yes=0.14 / No=0.86
Will US GDP growth in Q1 2026 be less than 1.0%?,will-us-gdp-growth-in-q1-2026-be-less-than-1pt0,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-less-than-1pt0,1499.6549280000002,34294.32619700003,10180.3338,2026-04-30T00:00:00Z,GDP,Yes=0.051 / No=0.949
Will annual inflation increase by ≤3.1% in April?,will-annual-inflation-increase-by-3pt1-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt1-in-april,1444.030444,4352.437441,5084.10641,2026-05-12T00:00:00Z,CPI,Yes=0.0125 / No=0.9875
Will US GDP growth in Q1 2026 be greater than 3.5%?,will-us-gdp-growth-in-q1-2026-be-greater-than-3pt5,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-greater-than-3pt5,1430.48333,79829.62787099996,7748.91624,2026-04-30T00:00:00Z,GDP,Yes=0.081 / No=0.919
Will US GDP growth in Q1 2026 be between 1.0% and 1.5%?,will-us-gdp-growth-in-q1-2026-be-between-1pt0-and-1pt5,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-between-1pt0-and-1pt5,1395.669068,10178.500377000008,2367.85063,2026-04-30T00:00:00Z,GDP,Yes=0.1485 / No=0.8515
Fed rate hike in 2026?,fed-rate-hike-in-2026,https://polymarket.com/event/fed-rate-hike-in-2026,1305.691423,915155.5408620014,59904.9375,2026-12-09T00:00:00Z,Fed,Yes=0.125 / No=0.875
Will US GDP growth in Q1 2026 be between 2.5% and 3.0%?,will-us-gdp-growth-in-q1-2026-be-between-2pt5-and-3pt0,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-between-2pt5-and-3pt0,1152.0923209999999,29378.498076000003,2227.65369,2026-04-30T00:00:00Z,GDP,Yes=0.1885 / No=0.8115
Will US GDP growth in Q1 2026 be between 2.0% and 2.5%?,will-us-gdp-growth-in-q1-2026-be-between-2pt0-and-2pt5,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-between-2pt0-and-2pt5,1001.3942170000001,47906.30098099999,3280.51824,2026-04-30T00:00:00Z,GDP,Yes=0.2905 / No=0.7095
Will the Fed’s lower bound reach 3.25% or lower before 2027?,will-the-feds-lower-bound-reach-3pt25-or-lower-before-2027-269,https://polymarket.com/event/will-the-feds-lower-bound-reach-3pt25-or-lower-before-2027-269,924.62,57829.40642700001,9759.7464,2026-12-31T00:00:00Z,Fed,Yes=0.635 / No=0.365
Will US GDP growth in Q1 2026 be between 1.5% and 2.0%?,will-us-gdp-growth-in-q1-2026-be-between-1pt5-and-2pt0,https://polymarket.com/event/will-us-gdp-growth-in-q1-2026-be-between-1pt5-and-2pt0,865.6151209999999,32845.54796699997,2419.95096,2026-04-30T00:00:00Z,GDP,Yes=0.21 / No=0.79
Will monthly inflation increase by 0.5% in April?,will-monthly-inflation-increase-by-0pt5-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt5-in-april,710.14,2038.2598219999998,3756.9128,2026-05-12T00:00:00Z,CPI,Yes=0.38 / No=0.62
Kevin Warsh Fed Chair nomination withdrawn by May 15?,kevin-warsh-fed-chair-nomination-withdrawn-by-may-15,https://polymarket.com/event/kevin-warsh-fed-chair-nomination-withdrawn-by-may-15,686.0,142418.7116950001,32432.68689,2026-05-15T00:00:00Z,Fed,Yes=0.0135 / No=0.9865
"Jerome Powell out as Fed Chair by May 31, 2026?",jerome-powell-out-as-fed-chair-by-may-31-2026,https://polymarket.com/event/jerome-powell-out-as-fed-chair-by-may-31-2026,679.7195380000003,6984.011819999998,3787.9362,2026-05-14T00:00:00Z,Fed,Yes=0.57 / No=0.43
Will monthly inflation increase by 0.4% in April?,will-monthly-inflation-increase-by-0pt4-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt4-in-april,600.560302,1932.1173560000004,3420.662,2026-05-12T00:00:00Z,CPI,Yes=0.25 / No=0.75
Will annual inflation increase by 4.0% in April?,will-annual-inflation-increase-by-4pt0-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-4pt0-in-april,583.578047,2634.4656059999993,7249.21439,2026-05-12T00:00:00Z,CPI,Yes=0.031 / No=0.969
Will Kevin Warsh be confirmed as Fed Chair and will rates stay above 2.5% in 2026?,will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-958,https://polymarket.com/event/will-kevin-warsh-be-confirmed-as-fed-chair-and-will-rates-stay-above-2pt5-in-2026-958,544.455,7213.670508000001,2083.8275,2026-12-31T00:00:00Z,Fed,Yes=0.795 / No=0.205
Will the Fed Pause–Pause–Pause in the next three decisions (Jan–Mar–Apr)?,will-the-fed-pausepausepause-in-the-next-three-decisions-janmarapr,https://polymarket.com/event/will-the-fed-pausepausepause-in-the-next-three-decisions-janmarapr,512.967189,101145.26152499988,62104.01763,2026-04-29T00:00:00Z,Fed,Yes=0.9925 / No=0.0075
Will the April 2026 unemployment rate be 4.0%?,will-the-april-2026-unemployment-rate-be-4pt0,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt0,494.566077,2084.7379570000007,3567.97747,2026-05-08T00:00:00Z,Labor,Yes=0.0295 / No=0.9705
Will no one dissent the April Fed decision?,will-no-one-dissent-the-april-fed-decision,https://polymarket.com/event/will-no-one-dissent-the-april-fed-decision,430.2618439999999,6385.548917,4183.81815,2026-04-29T00:00:00Z,Fed,Yes=0.0255 / No=0.9745
Will annual inflation increase by 3.3% in April?,will-annual-inflation-increase-by-3pt3-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt3-in-april,401.35417299999995,1506.0977260000004,3750.51799,2026-05-12T00:00:00Z,CPI,Yes=0.0535 / No=0.9465
Will Jerome Powell depart as Fed Chair by May 31 2026?,will-jerome-powell-depart-as-fed-chair-by-may-31-2026,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-by-may-31-2026,400.82,1963.9678889999998,1713.3211,2026-06-30T00:00:00Z,Fed,Yes=0.8 / No=0.2
Fed Rate Hike by June 2026 Meeting?,fed-rate-hike-by-june-2026-meeting,https://polymarket.com/event/fed-rate-hike-by-june-2026-meeting,369.756447,9594.848127000001,35401.69874,2026-12-09T00:00:00Z,Fed,Yes=0.036 / No=0.964
Will annual inflation increase by 3.4% in April?,will-annual-inflation-increase-by-3pt4-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt4-in-april,344.13854299999997,1937.6009949999996,6898.20642,2026-05-12T00:00:00Z,CPI,Yes=0.064 / No=0.936
Will annual inflation increase by 3.5% in April?,will-annual-inflation-increase-by-3pt5-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt5-in-april,340.565896,1839.9817240000002,4174.4155,2026-05-12T00:00:00Z,CPI,Yes=0.177 / No=0.823
Will annual inflation increase by 3.2% in April?,will-annual-inflation-increase-by-3pt2-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt2-in-april,318.448357,1318.9238790000002,4613.14479,2026-05-12T00:00:00Z,CPI,Yes=0.0165 / No=0.9835
Will the Bank of Israel make no change to the Bank of Israel Interest Rate after the May decision?,will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-may-decision,https://polymarket.com/event/will-the-bank-of-israel-make-no-change-to-the-bank-of-israel-interest-rate-after-the-may-decision,304.962288,12669.666486000002,1189.8157,2026-05-25T00:00:00Z,Fed,Yes=0.25 / No=0.75
Will monthly inflation increase by 0.3% or less in April?,will-monthly-inflation-increase-by-0pt3-or-less-in-april,https://polymarket.com/event/will-monthly-inflation-increase-by-0pt3-or-less-in-april,299.72999999999996,2193.293216,2153.31415,2026-05-12T00:00:00Z,CPI,Yes=0.1005 / No=0.8995
Will the April 2026 unemployment rate be ≤3.9%?,will-the-april-2026-unemployment-rate-be-3pt9,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-3pt9,295.04,2231.234193,1291.06136,2026-05-08T00:00:00Z,Labor,Yes=0.0315 / No=0.9685
Will the Bank of Israel increase the Bank of Israel Interest Rate after the May decision?,will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-may-decision,https://polymarket.com/event/will-the-bank-of-israel-increase-the-bank-of-israel-interest-rate-after-the-may-decision,282.165153,2927.1065449999996,3118.22297,2026-05-25T00:00:00Z,Fed,Yes=0.028 / No=0.972
Will the April 2026 unemployment rate be 4.2%?,will-the-april-2026-unemployment-rate-be-4pt2,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt2,281.205905,1962.8921249999999,2181.6643,2026-05-08T00:00:00Z,Labor,Yes=0.185 / No=0.815
Will the Fed Pause–Cut–Cut in the next three decisions (Mar–Apr–Jun)?,will-the-fed-pausecutcut-in-the-next-three-decisions-maraprjun,https://polymarket.com/event/will-the-fed-pausecutcut-in-the-next-three-decisions-maraprjun,272.670681,512097.6725779999,32032.18912,2026-06-17T00:00:00Z,Fed,Yes=0.004 / No=0.996
Will Jerome Powell depart as Fed Chair between May 15 and May 22?,will-jerome-powell-depart-as-fed-chair-between-may-15-and-may-22,https://polymarket.com/event/will-jerome-powell-depart-as-fed-chair-between-may-15-and-may-22,268.75,11540.346209000001,7620.0412,2026-07-03T00:00:00Z,Fed,Yes=0.49 / No=0.51
Will annual inflation increase by 3.6% in April?,will-annual-inflation-increase-by-3pt6-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt6-in-april,257.58073499999995,5319.649870999999,4460.3222,2026-05-12T00:00:00Z,CPI,Yes=0.3 / No=0.7
Will the Fed decide differently in the next three decisions (Mar–Apr–Jun)?,will-the-fed-decide-differently-in-the-next-three-decisions-maraprjun,https://polymarket.com/event/will-the-fed-decide-differently-in-the-next-three-decisions-maraprjun,248.546665,218364.3782769999,9260.07243,2026-06-17T00:00:00Z,Fed,Yes=0.0125 / No=0.9875
Will annual inflation increase by 3.9% in April?,will-annual-inflation-increase-by-3pt9-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt9-in-april,236.570539,7704.785993000002,5652.66517,2026-05-12T00:00:00Z,CPI,Yes=0.039 / No=0.961
Will annual inflation increase by 3.7% in April?,will-annual-inflation-increase-by-3pt7-in-april,https://polymarket.com/event/will-annual-inflation-increase-by-3pt7-in-april,235.22139099999998,1593.5927780000004,5877.97517,2026-05-12T00:00:00Z,CPI,Yes=0.1915 / No=0.8085
Will the April 2026 unemployment rate be 4.1%?,will-the-april-2026-unemployment-rate-be-4pt1,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt1,224.989809,1531.2914589999998,4000.33452,2026-05-08T00:00:00Z,Labor,Yes=0.0545 / No=0.9455
Will the Bank of Israel decrease the Bank of Israel Interest Rate after the May decision?,will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-may-decision,https://polymarket.com/event/will-the-bank-of-israel-decrease-the-bank-of-israel-interest-rate-after-the-may-decision,190.83,4212.200767000001,2952.2929,2026-05-25T00:00:00Z,Fed,Yes=0.725 / No=0.275
Will one person dissent the April Fed decision?,will-one-person-dissent-the-april-fed-decision,https://polymarket.com/event/will-one-person-dissent-the-april-fed-decision,171.563609,16629.026132,2363.7498,2026-04-29T00:00:00Z,Fed,Yes=0.72 / No=0.28
Will the Fed decide differently in the next three decisions (Jan–Mar–Apr)?,will-the-fed-decide-differently-in-the-next-three-decisions-janmarapr,https://polymarket.com/event/will-the-fed-decide-differently-in-the-next-three-decisions-janmarapr,163.815459,278504.44099999993,39235.62606,2026-04-29T00:00:00Z,Fed,Yes=0.0035 / No=0.9965
Will the April 2026 unemployment rate be 4.4%?,will-the-april-2026-unemployment-rate-be-4pt4,https://polymarket.com/event/will-the-april-2026-unemployment-rate-be-4pt4,146.26000000000002,5525.739905999999,2171.5745,2026-05-08T00:00:00Z,Labor,Yes=0.205 / No=0.795
Kevin Warsh confirmed as Fed Chair by June 30?,kevin-warsh-confirmed-as-fed-chair-by-june-30,https://polymarket.com/event/kevin-warsh-confirmed-as-fed-chair-by-june-30,141.93520800000002,181.63891,3068.3743,2026-06-30T00:00:00Z,Fed,Yes=0.91 / No=0.09
Will three people dissent the April Fed decision?,will-three-people-dissent-the-april-fed-decision,https://polymarket.com/event/will-three-people-dissent-the-april-fed-decision,138.24524,3236.9349469999997,3647.1319,2026-04-29T00:00:00Z,Fed,Yes=0.055 / No=0.945
Will US unemployment reach at least 5.0% in 2026?,will-us-unemployment-reach-at-least-5pt0-in-2026,https://polymarket.com/event/will-us-unemployment-reach-at-least-5pt0-in-2026,136.41,91705.05285400008,13884.2548,2026-01-10T00:00:00Z,Labor,Yes=0.435 / No=0.565
Will US unemployment reach at least 5.5% in 2026?,will-us-unemployment-reach-at-least-5pt5-in-2026,https://polymarket.com/event/will-us-unemployment-reach-at-least-5pt5-in-2026,128.583869,180734.7771069998,5722.0325,2026-01-10T00:00:00Z,Labor,Yes=0.29 / No=0.71
Will Stephen Miran be confirmed as Fed Chair?,will-stephen-miran-be-confirmed-as-fed-chair,https://polymarket.com/event/will-stephen-miran-be-confirmed-as-fed-chair,128.256,1030930.4807709999,48442.32494,2026-10-31T00:00:00Z,Fed,Yes=0.009 / No=0.991
